date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:47	131159/131159	---M-Z	200	added ('OK')	text/html	etag:%2220057-63c8325f-fe4b54fb74eadd39;gz%22	https://html.themexplosion.com/goru/index2.html	D:/my%20websites/template2/html.themexplosion.com/goru/index2.html	(from )
18:45:47	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-636d43b7-ce46a10434cb42fd;gz%22	https://html.themexplosion.com/robots.txt		(from )
18:45:49	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%2226f1b-63c8325f-8183046bc41f72fa;gz%22	https://html.themexplosion.com/goru/assets/css/bootstrap.min.css	D:/my%20websites/template2/html.themexplosion.com/goru/assets/css/bootstrap.min.css	(from https://html.themexplosion.com/goru/index2.html)
18:45:51	1314/1314	---M-Z	200	added ('OK')	text/css	etag:%22522-63c8325f-66243bb70714f092;gz%22	https://html.themexplosion.com/goru/assets/css/flaticon.css	D:/my%20websites/template2/html.themexplosion.com/goru/assets/css/flaticon.css	(from https://html.themexplosion.com/goru/index2.html)
18:45:51	264152/264152	---M-Z	200	added ('OK')	text/css	etag:%22407d8-63c8325f-bd1565aa6f05e32c;gz%22	https://html.themexplosion.com/goru/assets/css/themewar-icons.css	D:/my%20websites/template2/html.themexplosion.com/goru/assets/css/themewar-icons.css	(from https://html.themexplosion.com/goru/index2.html)
18:45:51	23848/23848	---M-Z	200	added ('OK')	text/css	etag:%225d28-63c8325f-6e120da550a943f9;gz%22	https://html.themexplosion.com/goru/assets/css/animate.css	D:/my%20websites/template2/html.themexplosion.com/goru/assets/css/animate.css	(from https://html.themexplosion.com/goru/index2.html)
18:45:52	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-63c8325f-a7484e46e7fa6a20;gz%22	https://html.themexplosion.com/goru/assets/css/owl.carousel.min.css	D:/my%20websites/template2/html.themexplosion.com/goru/assets/css/owl.carousel.min.css	(from https://html.themexplosion.com/goru/index2.html)
18:45:52	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-63c8325f-f324bf0077503260;gz%22	https://html.themexplosion.com/goru/assets/css/owl.theme.default.min.css	D:/my%20websites/template2/html.themexplosion.com/goru/assets/css/owl.theme.default.min.css	(from https://html.themexplosion.com/goru/index2.html)
18:45:53	30027/30027	---M-Z	200	added ('OK')	text/css	etag:%22754b-63c8325f-c3cac7c31086333a;gz%22	https://html.themexplosion.com/goru/assets/css/settings.css	D:/my%20websites/template2/html.themexplosion.com/goru/assets/css/settings.css	(from https://html.themexplosion.com/goru/index2.html)
18:45:53	17010/17010	---M-Z	200	added ('OK')	text/css	etag:%224272-63c8325f-ef5cc6829519fe21;gz%22	https://html.themexplosion.com/goru/assets/css/lightcase.css	D:/my%20websites/template2/html.themexplosion.com/goru/assets/css/lightcase.css	(from https://html.themexplosion.com/goru/index2.html)
18:45:54	5970/5970	---M-Z	200	added ('OK')	text/css	etag:%221752-63c8325f-8000f79f148b27ed;gz%22	https://html.themexplosion.com/goru/assets/css/preset.css	D:/my%20websites/template2/html.themexplosion.com/goru/assets/css/preset.css	(from https://html.themexplosion.com/goru/index2.html)
18:45:54	4620/4620	---M-Z	200	added ('OK')	text/css	etag:%22120c-63c8325f-9b54304ef3482810;gz%22	https://html.themexplosion.com/goru/assets/css/ignore_in_wp.css	D:/my%20websites/template2/html.themexplosion.com/goru/assets/css/ignore_in_wp.css	(from https://html.themexplosion.com/goru/index2.html)
18:45:55	107568/107568	---M-Z	200	added ('OK')	text/css	etag:%221a430-63c8325f-fc0705b4b8eed696;gz%22	https://html.themexplosion.com/goru/assets/css/theme.css	D:/my%20websites/template2/html.themexplosion.com/goru/assets/css/theme.css	(from https://html.themexplosion.com/goru/index2.html)
18:45:56	22090/22090	---M-Z	200	added ('OK')	text/css	etag:%22564a-63c8325f-423b4cc2f34a8bb6;gz%22	https://html.themexplosion.com/goru/assets/css/responsive.css	D:/my%20websites/template2/html.themexplosion.com/goru/assets/css/responsive.css	(from https://html.themexplosion.com/goru/index2.html)
18:45:56	1299/1299	---M--	200	added ('OK')	image/png	etag:%22513-63c8325f-9517ead2d39fcc03;;;%22	https://html.themexplosion.com/goru/assets/images/favicon.png	D:/my%20websites/template2/html.themexplosion.com/goru/assets/images/favicon.png	(from https://html.themexplosion.com/goru/index2.html)
18:45:57	162734/162734	---M-Z	200	added ('OK')	text/html	etag:%2227bae-63c8325f-18edb53773a5d733;gz%22	https://html.themexplosion.com/goru/index.html	D:/my%20websites/template2/html.themexplosion.com/goru/index.html	(from https://html.themexplosion.com/goru/index2.html)
18:45:57	1845/1845	---M--	200	added ('OK')	image/png	etag:%22735-63c8325f-847f57190a0958ac;;;%22	https://html.themexplosion.com/goru/assets/images/logo2.png	D:/my%20websites/template2/html.themexplosion.com/goru/assets/images/logo2.png	(from https://html.themexplosion.com/goru/index2.html)
18:45:58	2023/2023	---M--	200	added ('OK')	image/png	etag:%227e7-63c8325f-190520239c2c10ca;;;%22	https://html.themexplosion.com/goru/assets/images/flag.png	D:/my%20websites/template2/html.themexplosion.com/goru/assets/images/flag.png	(from https://html.themexplosion.com/goru/index2.html)
18:45:58	1348/1348	---M--	200	added ('OK')	image/png	etag:%22544-63c8325f-b5247fb01f72859;;;%22	https://html.themexplosion.com/goru/assets/images/cart.png	D:/my%20websites/template2/html.themexplosion.com/goru/assets/images/cart.png	(from https://html.themexplosion.com/goru/index2.html)
18:45:59	33372/33372	---M-Z	200	added ('OK')	text/html	etag:%22825c-63c8325f-cba919b6b82cf88b;gz%22	https://html.themexplosion.com/goru/shop-fullwidth.html	D:/my%20websites/template2/html.themexplosion.com/goru/shop-fullwidth.html	(from https://html.themexplosion.com/goru/index2.html)
